Model,Accuracy,Precision,Recall,F1-Score,CV Mean Acc,CV Std
Extra Trees Classifier,0.8288508557457213,0.8426103646833013,0.8832997987927566,0.862475442043222,0.8337418586735765,0.017936902412637443
Support Vector Machine,0.8300733496332519,0.8653061224489796,0.8531187122736419,0.8591691995947315,0.8300733496332519,0.0
AdaBoost Classifier,0.8276283618581907,0.8449612403100775,0.8772635814889336,0.8608094768015795,0.831601185890702,0.01698837530011876
Stacking Classifier,0.8251833740831296,0.849802371541502,0.8651911468812877,0.8574277168494516,0.8251833740831296,0.0
CatBoost Classifier,0.8251833740831296,0.854,0.8591549295774648,0.8565697091273822,0.8343525456964773,0.014373130474938538
Random Forest Classifier,0.823960880195599,0.8454011741682974,0.869215291750503,0.8571428571428571,0.8346588229801339,0.01806451480084494
Gradient Boosting Classifier,0.8227383863080685,0.8562753036437247,0.8511066398390342,0.8536831483350151,0.8306814202675257,0.015765299842987923
Voting Classifier,0.8215158924205379,0.8461538461538461,0.8631790744466801,0.8545816733067729,0.8355753204005882,0.019028144017533315
LightGBM Classifier,0.8215158924205379,0.8559837728194726,0.8490945674044266,0.8525252525252526,0.8312935079487358,0.018634528761244135
Hist Gradient Boosting,0.8215158924205379,0.8559837728194726,0.8490945674044266,0.8525252525252526,0.8340453346406145,0.01803848468051448
Logistic Regression,0.8202933985330073,0.8458498023715415,0.8611670020120724,0.8534396809571286,0.8322118729136028,0.018414291937487563
XGBoost Classifier,0.8202933985330073,0.854251012145749,0.8490945674044266,0.851664984863774,0.8306846884702477,0.01587766766021421
K-Nearest Neighbors,0.815403422982885,0.846,0.8511066398390342,0.8485456369107321,0.8169325583024023,0.01842176219301022
Bagging Classifier,0.8117359413202934,0.843687374749499,0.8470824949698189,0.8453815261044176,0.8267082195298456,0.015892504971998667
Gaussian Naive Bayes,0.8019559902200489,0.8467908902691511,0.8229376257545271,0.8346938775510204,0.8080705931787941,0.018568920665892483
