iter	Logloss
0	0.6714784325
1	0.6508784137
2	0.6340591688
3	0.6184818036
4	0.6046018172
5	0.5895051408
6	0.577973421
7	0.5656732454
8	0.5559441172
9	0.5455818342
10	0.5365925918
11	0.5279206593
12	0.5197065004
13	0.5114503433
14	0.5038537418
15	0.4966631631
16	0.4909537222
17	0.4852583627
18	0.4800226254
19	0.4744388932
20	0.4707671735
21	0.4664271759
22	0.4622503109
23	0.458112594
24	0.4552068183
25	0.4512272784
26	0.4476280972
27	0.4442725809
28	0.4415283775
29	0.4393766444
30	0.4369178198
31	0.4342346427
32	0.432217409
33	0.4297516195
34	0.428201007
35	0.4261238061
36	0.4247004463
37	0.4228529613
38	0.4213795969
39	0.4201068301
40	0.4188494533
41	0.4175474658
42	0.4167535929
43	0.4155448884
44	0.4144222318
45	0.4132075355
46	0.4123715224
47	0.4113946179
48	0.4102698371
49	0.409732367
50	0.4091448547
51	0.4081374802
52	0.4073171527
53	0.4068274255
54	0.4060906303
55	0.4054008051
56	0.4049897792
57	0.4043220351
58	0.4040172916
59	0.4034773018
60	0.4029563575
61	0.4025892644
62	0.4022627828
63	0.4017100062
64	0.4012605887
65	0.4009681791
66	0.4003936646
67	0.4001963832
68	0.399988276
69	0.39949006
70	0.3990023606
71	0.3987335152
72	0.3984676302
73	0.3981185828
74	0.3976112286
75	0.3973707266
76	0.3969292944
77	0.3965488941
78	0.3962128316
79	0.3959584029
80	0.3956824486
81	0.3951637555
82	0.3949795525
83	0.394658998
84	0.3945258118
85	0.3943560624
86	0.3941145972
87	0.3939719578
88	0.3938922623
89	0.39358023
90	0.3934701694
91	0.3933077202
92	0.3932163632
93	0.3930663644
94	0.3930159251
95	0.3926820451
96	0.3926026739
97	0.3924570564
98	0.3922611465
99	0.3919511231
