iter	Passed	Remaining
0	1	181
1	3	195
2	6	204
3	8	200
4	10	206
5	12	200
6	15	200
7	17	203
8	19	200
9	21	193
10	23	188
11	24	182
12	26	175
13	27	171
14	29	169
15	31	165
16	32	160
17	34	157
18	35	152
19	36	147
20	37	142
21	38	137
22	39	133
23	40	129
24	41	125
25	42	122
26	43	118
27	44	115
28	45	111
29	46	108
30	47	105
31	48	102
32	49	99
33	49	96
34	50	94
35	51	91
36	52	89
37	53	87
38	54	85
39	55	83
40	56	81
41	57	79
42	58	77
43	59	75
44	60	74
45	61	72
46	62	70
47	63	68
48	64	67
49	65	65
50	66	63
51	67	62
52	68	60
53	69	58
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	83	40
67	84	39
68	85	38
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	110	9
92	112	8
93	113	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
